Stand_Gemeindegrenzen,Bezirk,bfs_nr,Gemeinde,Total_Abschluss_gymnasial,Total_19_Jahre_alt,Maturitaetsquote_gymnasial
2021,Bezirk Affoltern,1,Aeugst am Albis,22,95,23.16
2021,Bezirk Affoltern,2,Affoltern am Albis,66,456,14.47
2021,Bezirk Affoltern,3,Bonstetten,56,245,22.86
2021,Bezirk Affoltern,4,Hausen am Albis,34,153,22.22
2021,Bezirk Affoltern,5,Hedingen,43,181,23.76
2021,Bezirk Affoltern,6,Kappel am Albis,NA,44,NA
2021,Bezirk Affoltern,7,Knonau,8,89,8.99
2021,Bezirk Affoltern,8,Maschwanden,NA,23,NA
2021,Bezirk Affoltern,9,Mettmenstetten,38,217,17.51
2021,Bezirk Affoltern,10,Obfelden,27,243,11.11
2021,Bezirk Affoltern,11,Ottenbach,12,102,11.76
2021,Bezirk Affoltern,12,Rifferswil,15,52,28.85
2021,Bezirk Affoltern,13,Stallikon,43,121,35.54
2021,Bezirk Affoltern,14,Wettswil am Albis,69,186,37.1
2021,Bezirk Andelfingen,21,Adlikon,NA,18,NA
2021,Bezirk Andelfingen,22,Benken (ZH),NA,40,NA
2021,Bezirk Andelfingen,23,Berg am Irchel,NA,18,NA
2021,Bezirk Andelfingen,24,Buch am Irchel,NA,41,NA
2021,Bezirk Andelfingen,25,Dachsen,8,106,7.55
2021,Bezirk Andelfingen,26,Dorf,NA,39,NA
2021,Bezirk Andelfingen,27,Feuerthalen,5,136,3.68
2021,Bezirk Andelfingen,28,Flaach,10,63,15.87
2021,Bezirk Andelfingen,29,Flurlingen,6,76,7.89
2021,Bezirk Andelfingen,30,Andelfingen,20,87,22.99
2021,Bezirk Andelfingen,31,Henggart,27,130,20.77
2021,Bezirk Andelfingen,32,Humlikon,NA,17,NA
2021,Bezirk Andelfingen,33,Kleinandelfingen,12,70,17.14
2021,Bezirk Andelfingen,34,Laufen-Uhwiesen,6,77,7.79
2021,Bezirk Andelfingen,35,Marthalen,4,60,6.67
2021,Bezirk Andelfingen,37,Ossingen,17,91,18.68
2021,Bezirk Andelfingen,38,Rheinau,NA,49,NA
2021,Bezirk Andelfingen,39,Thalheim an der Thur,NA,33,NA
2021,Bezirk Andelfingen,40,Trüllikon,NA,42,NA
2021,Bezirk Andelfingen,41,Truttikon,NA,29,NA
2021,Bezirk Andelfingen,43,Volken,NA,19,NA
2021,Bezirk Andelfingen,292,Stammheim,18,129,13.95
2021,Bezirk Bülach,51,Bachenbülach,50,173,28.9
2021,Bezirk Bülach,52,Bassersdorf,78,547,14.26
2021,Bezirk Bülach,53,Bülach,133,870,15.29
2021,Bezirk Bülach,54,Dietlikon,52,309,16.83
2021,Bezirk Bülach,55,Eglisau,44,202,21.78
2021,Bezirk Bülach,56,Embrach,47,412,11.41
2021,Bezirk Bülach,57,Freienstein-Teufen,20,121,16.53
2021,Bezirk Bülach,58,Glattfelden,29,195,14.87
2021,Bezirk Bülach,59,Hochfelden,10,100,10
2021,Bezirk Bülach,60,Höri,6,109,5.5
2021,Bezirk Bülach,61,Hüntwangen,NA,39,NA
2021,Bezirk Bülach,62,Kloten,75,801,9.36
2021,Bezirk Bülach,63,Lufingen,28,97,28.87
